"ST_CASE","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","LATITUDE","LONGITUD","WEATHER","FATALS","DRUNK_DR"
180489,157,5200,31,8,2015,2,14,1,40.489525,-86.91589722,1,1,0
180490,159,4450,15,8,2015,7,4,10,40.38301667,-86.10795278,1,1,1
180491,81,1950,15,8,2015,7,16,48,39.62661944,-86.07421944,1,1,0
180493,147,4364,1,9,2015,3,15,5,38.17207222,-86.87289722,1,1,0
180494,11,4850,18,8,2015,3,7,15,40.14288889,-86.57916111,1,1,0
180495,103,3940,25,8,2015,3,12,25,40.67718611,-86.12840556,1,1,0
180496,183,980,2,9,2015,4,5,26,41.16916667,-85.491725,1,1,0
180497,105,380,3,9,2015,5,9,42,39.10556944,-86.55146389,1,1,0
180498,5,990,2,9,2015,4,16,27,39.25775,-85.97612778,1,1,0
180499,19,800,30,8,2015,1,10,45,38.42124167,-85.69516111,1,1,0
180500,5,990,7,9,2015,2,16,52,39.19969722,-85.96861667,1,2,0
180501,97,2210,22,8,2015,7,2,33,39.82435278,-86.23466944,1,1,1
180502,61,3500,2,9,2015,4,16,30,38.14816389,-86.05055,1,1,0
180503,175,4340,3,9,2015,5,0,18,38.73804167,-86.26426111,5,1,0
180504,69,5090,3,9,2015,5,9,23,40.73278333,-85.42047778,1,1,0
180505,3,1580,6,9,2015,1,2,26,41.04585278,-85.13238889,1,1,0
180506,3,1580,7,9,2015,2,16,46,41.15053889,-84.98554722,1,1,0
180507,87,4870,13,8,2015,5,21,56,41.58705833,-85.540375,1,1,0
180508,89,2010,2,9,2015,4,20,15,41.57839444,-87.44215278,10,1,1
180509,85,890,4,9,2015,6,15,8,41.11606389,-85.83563333,1,1,1
180510,97,2210,4,9,2015,6,19,0,39.82421111,-86.19764167,10,1,0
180511,89,2760,2,9,2015,4,5,26,41.28934444,-87.302425,1,1,0
180512,11,2630,28,8,2015,6,5,55,40.04666944,-86.47556111,1,1,1
180513,11,2630,9,9,2015,4,23,14,40.03959444,-86.38260556,1,1,0
180514,181,3200,8,9,2015,3,14,39,40.74509722,-86.81471944,10,1,0
180515,53,2850,9,9,2015,4,6,25,40.91325833,-85.88888056,2,1,0
180516,39,480,12,9,2015,7,10,15,41.72218889,-85.81330833,1,1,0
180517,69,2190,4,9,2015,6,19,43,40.77907222,-85.37409444,10,1,1
180518,97,2210,10,9,2015,5,4,44,39.80580278,-86.09396667,1,1,0
180519,1,3140,2,9,2015,4,5,41,40.74491389,-84.95451667,1,1,0
180520,89,1730,16,9,2015,4,10,51,41.59446389,-87.22578056,1,1,0
180521,89,2010,14,8,2015,6,4,9,41.60784444,-87.50001667,1,1,0
180522,23,3350,17,9,2015,5,19,18,40.34138056,-86.65662222,1,1,1
180523,177,4120,17,9,2015,5,13,5,39.82007222,-84.9676,1,1,0
180525,105,380,11,9,2015,6,14,58,39.11646111,-86.42801389,2,1,0
180526,39,480,15,9,2015,3,8,30,41.72139167,-85.80464722,1,1,0
180527,135,5350,19,9,2015,7,13,15,40.11811111,-84.95453889,10,1,1
180528,147,4364,19,9,2015,7,14,35,38.09576667,-86.904425,1,1,0
180530,167,4840,10,9,2015,5,8,26,39.38346944,-87.39529722,1,1,0
180531,97,2210,30,7,2015,5,6,45,39.82860833,-86.12180278,1,1,1
180532,89,1310,16,9,2015,4,19,40,41.610875,-87.47455,1,1,0
180533,67,1930,22,9,2015,3,21,7,40.550425,-85.97606944,1,1,0
180534,37,1530,17,9,2015,5,12,35,38.26141667,-86.86615278,1,2,0
180535,73,5250,23,9,2015,4,12,5,41.17355278,-87.19866111,1,2,0
180536,135,4370,26,9,2015,7,2,35,40.30934722,-84.90985833,10,1,0
180537,181,3130,20,9,2015,1,15,30,40.88323333,-86.87889722,10,1,1
180538,91,2990,18,9,2015,6,21,43,41.70093889,-86.89421667,10,1,0
180539,125,3950,15,9,2015,3,19,55,38.42981944,-87.308525,1,1,0
180540,89,1310,23,9,2015,4,6,13,41.62968056,-87.48085278,1,1,1
180541,5,2160,23,9,2015,4,19,13,39.27632778,-85.72416944,1,1,0
