"dates","names","alliance","confederation","integrity","one","unity","citizenry","country","democracy","department","freedom","majority","multitude","nation","people","republic","state","advancement","invention","progress","success","technology","win","foreigner","immigration","invader","settler","approach","attack","communist","concern","fear","fire","menace","panic","terror","terrorism","threat","artillery","battle","conflict","dictatorship","gun","invasion","struggle","war","weapon"
1909,"Taft",0,0,0,8,0,0,8,0,6,2,1,0,39,14,2,126,1,0,14,8,0,1,2,1,0,0,0,7,0,1,4,1,0,2,0,0,0,0,0,2,0,0,6,3,30,0
1913,"Wilson",0,0,0,2,0,0,1,0,0,0,1,0,21,4,0,7,0,0,0,8,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1917,"Wilson",0,0,0,0,2,0,1,0,0,2,0,0,42,16,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0
1921,"Harding",1,0,0,7,1,0,6,16,0,5,0,0,57,24,11,14,0,0,10,12,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,6,0,0,1,0,0,0,0,90,0
1925,"Coolidge",0,0,1,11,1,0,19,0,1,6,2,0,63,32,3,35,1,0,0,28,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,6,0,1,1,0,0,0,0,30,0
1929,"Hoover",0,0,4,3,0,0,12,4,3,5,0,1,69,36,3,70,4,2,34,4,0,0,0,0,0,0,0,7,0,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0
1933,"Roosevelt",0,0,0,3,2,0,1,4,0,0,0,0,48,16,0,28,0,0,4,4,0,0,0,0,0,0,0,14,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0
1937,"Roosevelt",0,0,0,5,0,0,3,32,0,0,0,0,36,22,4,35,0,0,16,4,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1941,"Roosevelt",0,0,1,0,0,0,1,36,0,6,1,1,51,18,3,28,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1945,"Roosevelt",0,0,0,1,0,0,2,8,0,1,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1949,"Truman",0,0,0,1,0,0,3,36,0,13,0,0,81,42,0,49,0,0,4,8,0,0,0,0,0,0,1,28,2,2,6,0,0,0,0,0,4,0,0,0,0,0,0,0,20,2
1953,"Eisenhower",0,0,0,5,3,1,7,0,0,10,0,0,33,36,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,4,0,0,1,0,2,0,1,30,0
1957,"Eisenhower",1,0,0,2,2,0,2,0,0,11,0,0,54,30,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,1,6,1,1,0,0,0,2,0,0,2,0,0,0,1,15,2
1961,"Kennedy",2,0,0,1,0,0,4,0,0,4,0,0,24,4,1,21,0,0,2,8,0,0,0,0,0,0,0,0,2,0,4,1,0,0,10,0,0,0,1,0,0,0,0,2,20,2
1965,"Johnson",0,0,0,5,2,0,2,4,0,2,0,0,39,18,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
1969,"Nixon",0,0,0,7,2,0,2,0,0,2,0,0,27,30,0,7,0,0,2,0,0,2,0,0,0,0,2,0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0
1973,"Nixon",0,0,0,5,0,0,3,0,0,4,0,0,45,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0
1977,"Carter",0,0,0,2,2,0,1,0,0,4,0,0,45,14,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,4
1981,"Reagan",0,0,0,8,0,0,4,0,0,8,0,0,39,18,1,35,0,0,4,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,10,1,2,1,0,1,0,0,0,2,10,6
1985,"Reagan",1,0,0,14,1,0,1,8,0,14,0,0,33,34,2,28,0,2,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,10,12
1989,"Bush",1,0,0,2,3,0,3,20,0,6,2,0,36,14,0,28,0,0,2,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0
1993,"Clinton",0,0,0,1,1,0,1,16,0,3,0,0,15,24,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0
1997,"Clinton",0,0,0,10,0,0,0,16,0,2,0,0,45,22,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,10,0,2,0,0,0,1,0,0,0,10,2
2001,"Bush",0,0,0,1,1,0,9,8,0,5,0,0,42,2,0,7,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2
2005,"Bush",0,0,1,9,2,0,8,4,0,27,0,0,39,14,0,35,0,0,4,8,0,0,0,0,0,0,0,14,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,5,0
2009,"Obama",1,0,0,2,1,0,2,0,0,3,0,0,45,16,0,14,0,0,2,8,1,3,0,0,0,0,0,0,0,0,4,1,0,0,5,0,6,0,0,2,0,0,0,1,15,0
